INDV	P1_PHI	P2_PHI	CLASS	QUAL
F1-02F06	0.240541	0.234	1	22.08
F1-02F07	0.228261	0.257028	1	26.95
F1-02F08	0.196078	0.304833	1	28.4
F1-02G02	0.171582	0.284294	1	28.84
F1-02G03	0.205379	0.293135	1	29.23
F1-02G04	0.176617	0.308271	1	27.5
F1-02G05	0.170918	0.295019	1	28.24
F1-02G06	0.168044	0.263692	1	27.57
F1-02G07	0.241645	0.236994	1	22.12
F1-02G08	0.187879	0.206522	1	19.44
F1-02H03	0.205882	0.299257	1	28.43
F1-02H04	0.244804	0.30373	1	17.77
F1-02H05	0.190955	0.284091	1	30.53
F1-02H06	0.191083	0.202703	1	18.6
F1-02H07	0.181818	0.32216	1	25.34
F1-0A01	0.181319	0.257085	1	29.2
Parent1	0.5	0.120087	2	999.00
Parent2	0.120087	0.5	2	89.47
